classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
larger,exact_name,sensor_fsm_process_event,sensor_fsm_process_event,78,137,1.756410,59,312,548,17,21,5,5,1,1,11,10,
larger,exact_name,frame_channel_vidioc_cropcap,frame_channel_vidioc_cropcap,78,131,1.679487,53,312,524,6,7,7,5,1,1,12,12,
larger,exact_name,orientation_hflip,orientation_hflip,78,128,1.641026,50,312,512,10,9,5,5,3,1,8,10,
larger,exact_name,dis_open,dis_open,78,115,1.474359,37,312,460,6,6,3,4,1,1,16,12,
larger,exact_name,mesh_AWB_getKnownSourceLight_weight_LUT,mesh_AWB_getKnownSourceLight_weight_LUT,77,138,1.792208,61,308,552,4,7,3,3,1,1,6,6,
larger,exact_name,iir_filter_v3,iir_filter_v3,76,151,1.986842,75,304,604,0,2,4,4,1,1,16,36,
larger,exact_name,apical_interrupt_frame_end,apical_interrupt_frame_end,75,126,1.680000,51,300,504,4,5,6,6,1,1,19,22,
larger,exact_name,tx_isp_release_subdevs,tx_isp_release_subdevs,74,121,1.635135,47,296,484,12,15,4,6,0,1,18,18,
larger,exact_name,awb_read_statistics,awb_read_statistics,74,117,1.581081,43,296,468,2,4,2,2,1,1,2,4,
larger,replacement,apical_isp_ae_weight_s_attr.isra.0,apical_isp_ae_weight_s_attr,73,134,1.835616,61,292,536,3,5,4,4,1,1,10,10,
larger,replacement,apical_isp_awb_weight_s_attr.isra.0,apical_isp_awb_weight_s_attr,73,134,1.835616,61,292,536,3,5,4,4,1,1,10,10,
larger,exact_name,resolution_active_image,resolution_active_image,71,117,1.647887,46,284,468,11,14,5,5,4,1,10,10,
larger,exact_name,apical_sine,apical_sine,69,132,1.913043,63,276,528,7,8,0,0,1,1,8,8,
larger,exact_name,init_interp_2d_point_LUT,init_interp_2d_point_LUT,69,107,1.550725,38,276,428,8,8,1,1,1,1,2,2,
larger,exact_name,tx_isp_media_pipeline_set_stream,tx_isp_media_pipeline_set_stream,68,121,1.779412,53,272,484,14,18,2,2,1,1,0,0,
larger,exact_name,apical_cosine,apical_cosine,68,107,1.573529,39,272,428,7,8,0,0,1,1,8,8,
larger,exact_name,apical_sbus_read_data_u16,apical_sbus_read_data_u16,67,104,1.552239,37,268,416,6,9,3,3,1,1,6,6,
larger,exact_name,apical_sbus_write_data_u32,apical_sbus_write_data_u32,67,103,1.537313,36,268,412,7,8,3,3,1,1,6,6,
larger,exact_name,dis_analyze,dis_analyze,67,92,1.373134,25,268,368,4,4,4,4,1,1,6,6,
larger,exact_name,isp_gamma_show,isp_gamma_show,65,101,1.553846,36,260,404,3,4,6,6,1,1,16,20,
larger,exact_name,calc_fe_lut_output,calc_fe_lut_output,64,108,1.687500,44,256,432,1,2,10,10,1,1,8,20,
larger,exact_name,frame_channel_vidioc_g_fmt_vid_cap,frame_channel_vidioc_g_fmt_vid_cap,64,96,1.500000,32,256,384,0,0,6,6,1,1,17,24,
larger,exact_name,apical_sbus_write_data_u16,apical_sbus_write_data_u16,64,92,1.437500,28,256,368,6,7,3,2,1,1,6,4,
larger,exact_name,color_matrix_setup,color_matrix_setup,63,121,1.920635,58,252,484,0,0,9,9,1,1,2,18,
larger,replacement,apical_isp_ae_weight_g_attr.isra.0,apical_isp_ae_weight_g_attr,63,118,1.873016,55,252,472,3,5,3,3,1,1,8,8,
larger,replacement,apical_isp_awb_weight_g_attr.isra.0,apical_isp_awb_weight_g_attr,63,118,1.873016,55,252,472,3,5,3,3,1,1,8,8,
larger,exact_name,validate_motion_vectors,validate_motion_vectors,63,99,1.571429,36,252,396,10,11,1,1,2,1,2,2,
